EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:40:23	0	0.1000	1.7691019235687357	1.1985238790512085	0.1421	0.075	0.0982	0.0524
2	00:44:18	0	0.1000	1.164931547063879	0.7426788210868835	0.3042	0.1597	0.2095	0.1247
3	00:47:59	0	0.1000	1.0201645709507918	0.7495250701904297	0.3014	0.1833	0.228	0.1362
4	00:51:47	0	0.1000	0.9020973701632494	0.5624831318855286	0.3578	0.2097	0.2644	0.1603
5	00:55:35	0	0.1000	0.8127235751453112	0.47782954573631287	0.4307	0.2375	0.3062	0.1865
6	00:59:17	0	0.1000	0.7732917016955245	0.43902286887168884	0.451	0.2431	0.3159	0.1942
7	01:02:40	0	0.1000	0.7096335168302482	0.42137524485588074	0.4789	0.2528	0.3309	0.2038
8	01:06:31	1	0.1000	0.6674575110069402	0.4389714002609253	0.3787	0.2861	0.3259	0.2038
9	01:10:12	0	0.1000	0.6347519634792749	0.3624914288520813	0.5048	0.2903	0.3686	0.234
10	01:13:46	1	0.1000	0.6001168010113864	0.669352650642395	0.2632	0.1458	0.1877	0.1045
11	01:17:14	2	0.1000	0.5842000114243053	0.6054762601852417	0.318	0.2778	0.2965	0.1771
12	01:20:50	3	0.1000	0.5449620077966358	0.45599982142448425	0.2983	0.4264	0.3511	0.2256
13	01:24:19	0	0.1000	0.5298979752574887	0.3277845084667206	0.5523	0.3958	0.4612	0.3128
14	01:27:30	1	0.1000	0.5200288008546615	0.375112384557724	0.4263	0.4097	0.4178	0.2762
15	01:31:06	2	0.1000	0.4931364400097272	0.35858777165412903	0.4235	0.3847	0.4032	0.2623
16	01:34:46	0	0.1000	0.47678127065531434	0.29708558320999146	0.6212	0.3986	0.4856	0.3269
17	01:38:32	1	0.1000	0.4696915669142749	0.3263426423072815	0.4787	0.4056	0.4391	0.29
18	01:42:05	0	0.1000	0.4539574677266037	0.28239938616752625	0.5183	0.4722	0.4942	0.3431
19	01:45:59	1	0.1000	0.43679081202641834	0.3411831557750702	0.3883	0.4778	0.4284	0.285
20	01:49:34	0	0.1000	0.4408966879203463	0.2719622254371643	0.5613	0.4833	0.5194	0.3652
21	01:53:11	1	0.1000	0.4234976466250494	0.27099213004112244	0.5462	0.4931	0.5182	0.3637
22	01:56:51	2	0.1000	0.4131345812976137	0.45155438780784607	0.2668	0.1819	0.2164	0.1222
23	02:00:24	3	0.1000	0.3979756767170742	0.29540714621543884	0.481	0.5097	0.4949	0.343
24	02:04:00	0	0.1000	0.3921528743999312	0.2545504868030548	0.5945	0.4847	0.534	0.3777
25	02:07:47	1	0.1000	0.3800237863512238	0.2911451756954193	0.4765	0.5208	0.4977	0.3447
26	02:11:27	2	0.1000	0.38042655832634886	0.2726348042488098	0.5174	0.5153	0.5164	0.3598
27	02:15:04	0	0.1000	0.3770661103679457	0.2517421245574951	0.5499	0.5278	0.5386	0.3823
28	02:18:45	1	0.1000	0.3586427611215027	0.2487850934267044	0.5696	0.4889	0.5262	0.3682
29	02:21:48	2	0.1000	0.361910240202141	0.45009878277778625	0.498	0.5236	0.5105	0.356
30	02:25:14	3	0.1000	0.3502634311181467	0.24621446430683136	0.5516	0.5194	0.5351	0.3766
31	02:28:50	4	0.1000	0.3516686379715374	0.2945170998573303	0.4279	0.5361	0.476	0.3249
32	02:32:34	0	0.0500	0.3142632345200131	0.2392611801624298	0.561	0.5236	0.5417	0.3851
33	02:36:26	1	0.0500	0.309456721579991	0.26451241970062256	0.4838	0.5181	0.5003	0.3454
34	02:40:04	2	0.0500	0.30567006478528697	0.24523389339447021	0.5266	0.5361	0.5313	0.3762
35	02:43:40	0	0.0500	0.3017442641043856	0.24057649075984955	0.5472	0.5472	0.5472	0.392
36	02:47:26	1	0.0500	0.29849329463549545	0.2475254386663437	0.5192	0.5264	0.5228	0.3655
37	02:50:51	2	0.0500	0.2998727156180581	0.23875637352466583	0.5376	0.5556	0.5464	0.3914
38	02:54:27	3	0.0500	0.29307319109487645	0.24365128576755524	0.5347	0.5569	0.5456	0.392
39	02:58:00	4	0.0500	0.29524095435644004	0.23869431018829346	0.5331	0.5597	0.5461	0.3905
40	03:01:39	1	0.0250	0.28314948373425936	0.23334896564483643	0.5653	0.5292	0.5466	0.3888
41	03:05:16	0	0.0250	0.27539983471489704	0.23548223078250885	0.5511	0.5542	0.5526	0.3978
42	03:09:01	1	0.0250	0.2764337849181283	0.23577332496643066	0.5436	0.5458	0.5447	0.3883
43	03:12:35	2	0.0250	0.27528752144319746	0.2315915822982788	0.5472	0.5556	0.5513	0.3956
44	03:16:14	3	0.0250	0.27361718260234813	0.23436598479747772	0.536	0.5486	0.5422	0.3869
45	03:19:42	0	0.0250	0.273995792384705	0.2273864895105362	0.5745	0.5569	0.5656	0.4079
46	03:23:33	1	0.0250	0.2693417521306915	0.24553923308849335	0.509	0.5514	0.5293	0.3742
47	03:27:04	2	0.0250	0.2661618052680847	0.26071998476982117	0.4859	0.55	0.516	0.3613
48	03:30:39	3	0.0250	0.26735684562899475	0.22984400391578674	0.5551	0.5597	0.5574	0.4006
49	03:34:17	4	0.0250	0.26701999232133367	0.23407615721225739	0.5331	0.5375	0.5353	0.3783
50	03:37:51	1	0.0125	0.26191395070577295	0.23154646158218384	0.5486	0.5639	0.5562	0.3992
51	03:41:29	2	0.0125	0.2600828810458318	0.23423679172992706	0.5363	0.5333	0.5348	0.378
52	03:45:04	3	0.0125	0.25956086854957955	0.24425634741783142	0.5112	0.5681	0.5382	0.3805
53	03:48:39	4	0.0125	0.2588585213179879	0.2422398030757904	0.5156	0.5736	0.5431	0.3856
54	03:51:41	1	0.0063	0.2569402388520926	0.23559211194515228	0.5286	0.5639	0.5457	0.3885
55	03:55:20	2	0.0063	0.25483607186601387	0.2342393845319748	0.5446	0.5681	0.5561	0.3994
56	03:58:52	3	0.0063	0.2583455787938489	0.23837319016456604	0.5161	0.5569	0.5357	0.3787
57	04:02:37	4	0.0063	0.25592858760451165	0.23484742641448975	0.5286	0.5653	0.5463	0.3895
58	04:06:12	1	0.0031	0.25587352894767773	0.2339768260717392	0.5253	0.5625	0.5433	0.3865
59	04:09:58	2	0.0031	0.2498981940547617	0.23228900134563446	0.5348	0.5556	0.545	0.388
60	04:13:37	3	0.0031	0.2486455397403989	0.23256808519363403	0.5374	0.5583	0.5477	0.3911
61	04:17:15	4	0.0031	0.25361686265791733	0.2337595671415329	0.5368	0.5569	0.5467	0.3897
62	04:20:49	1	0.0016	0.24968089402588686	0.2331283688545227	0.5368	0.5569	0.5467	0.3893
63	04:24:25	2	0.0016	0.25049033081082966	0.23424352705478668	0.5304	0.5569	0.5434	0.3867
64	04:27:56	3	0.0016	0.2535028258918837	0.23525267839431763	0.5291	0.5556	0.542	0.385
65	04:31:33	4	0.0016	0.25084316803119505	0.23613010346889496	0.5256	0.5556	0.5402	0.3831
66	04:35:07	1	0.0008	0.25216722425368304	0.23607707023620605	0.5264	0.5542	0.5399	0.3829
67	04:38:39	2	0.0008	0.2521390760643662	0.23575645685195923	0.5257	0.5542	0.5396	0.3829
68	04:42:18	3	0.0008	0.2512380279029873	0.23478944599628448	0.5286	0.5528	0.5404	0.3834
69	04:45:52	4	0.0008	0.25341217940609795	0.23419228196144104	0.5311	0.5569	0.5437	0.3874
70	04:49:25	1	0.0004	0.2494275603220355	0.23453497886657715	0.5305	0.5556	0.5427	0.3857
71	04:53:00	2	0.0004	0.24976081358940813	0.2344621866941452	0.5318	0.5569	0.5441	0.3871
72	04:56:37	3	0.0004	0.2522117755840556	0.23444397747516632	0.5298	0.5556	0.5424	0.3854
73	05:00:20	4	0.0004	0.2523039392772088	0.23472711443901062	0.5291	0.5556	0.542	0.3854
74	05:03:51	1	0.0002	0.2537124799941569	0.23466213047504425	0.5291	0.5556	0.542	0.3854
75	05:07:25	2	0.0002	0.2533776296663975	0.23465320467948914	0.5298	0.5556	0.5424	0.3854
76	05:11:00	3	0.0002	0.25116848923198004	0.23473650217056274	0.5298	0.5556	0.5424	0.3854
77	05:14:14	4	0.0002	0.2532331356279045	0.2347983866930008	0.5298	0.5556	0.5424	0.3854